Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
Kepler-85 e,0.0,0.0,0.008,0.11,0.00189,728.0,613.0,2.565,25.2168,4.0824,13.1,782.09,5436.0,4.49,True,nexsci
Kepler-860 b,,,,0.29,0.0332,,,2.994,5.1014,2.5932,13.8,1295.0,5836.0,4.4,True,nexsci
Kepler-861 b,,,,0.2,0.0183,,,3.042,3.9496,1.5788,13.5,806.0,5047.0,4.58,True,nexsci
Kepler-862 b,,,,0.2,0.0174,,,3.046,3.1487,2.1794,13.3,806.0,5333.0,4.54,True,nexsci
Kepler-863 b,,,,0.26,0.0275,,,3.007,15.5946,5.0872,13.7,1145.0,5678.0,4.46,True,nexsci
Kepler-87 b,0.0,0.001,0.006,1.2,1.02,625.0,525.0,3.242,114.7364,11.8781,13.0,1277.88,5600.0,3.96,True,nexsci
Kepler-864 b,,,,0.21,0.02,,,3.034,5.8338,3.8589,14.2,1573.0,5754.0,4.44,True,nexsci
Kepler-865 b,,,,0.22,0.0213,,,3.03,14.164,4.3241,12.7,664.0,5570.0,4.49,True,nexsci
Kepler-866 b,,,,0.14,0.0104,,,3.089,2.617,2.0451,13.5,690.0,4751.0,4.62,True,nexsci
Kepler-867 b,,,,0.41,0.0612,,,2.947,150.2421,10.979,13.1,824.0,5541.0,4.49,True,nexsci
Kepler-868 b,,,,0.18,0.0153,,,3.054,5.0325,3.3066,14.1,1269.0,5614.0,4.51,True,nexsci
